Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
117,,,70,80,4,4,117.0,0,0,1,0,0,0.6219887733459473,0.006378173828125,0.00010776519775390625,0.001071929931640625,0.0003237724304199219,0.6091549396514893
118,,,70,80,4,1,118.0,0,0,0,0,0,0.6222338676452637,0.006476402282714844,0.00010895729064941406,0.0010731220245361328,0.0003345012664794922,0.6092116832733154
119,,,70,80,2,1,106.0,0,0,0,0,0,0.6224048137664795,0.006571292877197266,0.00010991096496582031,0.0010743141174316406,0.0003345012664794922,0.6092636585235596
120,,,72,82,5,1,120.0,0,0,2,0,0,0.6226990222930908,0.006663084030151367,0.00011086463928222656,0.0011365413665771484,0.0003445148468017578,0.60931396484375
121,,,73,84,5,3,121.0,0,0,1,0,0,0.623021125793457,0.006755352020263672,0.00011205673217773438,0.001195669174194336,0.00036025047302246094,0.609367847442627
122,,,73,86,10,5,122.0,0,0,1,0,0,0.6233730316162109,0.006857633590698242,0.00011301040649414062,0.00125885009765625,0.00037860870361328125,0.6094286441802979
123,,,73,86,3,2,121.0,0,0,0,0,0,0.623546838760376,0.006948709487915039,0.00011420249938964844,0.0012607574462890625,0.00037860870361328125,0.6094808578491211
124,,,73,86,11,7,112.4,0,0,0,0,0,0.6237649917602539,0.00705265998840332,0.00011515617370605469,0.0012638568878173828,0.00037860870361328125,0.6095378398895264
125,,,74,87,2,1,125.0,0,0,0,1,0,0.623945951461792,0.007147789001464844,0.0001163482666015625,0.0012650489807128906,0.00037860870361328125,0.6095848083496094
126,,,75,89,1,1,126.0,0,0,1,0,0,0.6242380142211914,0.0072476863861083984,0.00011730194091796875,0.001332998275756836,0.0003895759582519531,0.6096298694610596
127,,,77,91,3,2,127.0,0,0,2,0,0,0.6245589256286621,0.0073435306549072266,0.000118255615234375,0.0014078617095947266,0.0004055500030517578,0.6096804141998291
128,,,77,91,7,4,119.66666666666667,0,0,0,0,0,0.6247580051422119,0.0074427127838134766,0.00011920928955078125,0.0014100074768066406,0.0004055500030517578,0.6097369194030762
129,,,77,91,6,4,120.42857142857143,0,0,0,0,0,0.624945878982544,0.0075397491455078125,0.00012040138244628906,0.001413106918334961,0.0004055500030517578,0.6097886562347412
130,,,77,91,8,3,124.0,0,0,0,0,0,0.6252238750457764,0.007715702056884766,0.00012159347534179688,0.0014162063598632812,0.0004055500030517578,0.6098458766937256
131,,,77,91,4,1,122.0,0,0,0,0,0,0.6255180835723877,0.007894754409790039,0.0001227855682373047,0.0014178752899169922,0.0004055500030517578,0.6099300384521484
132,,,77,91,4,1,122.0,0,0,0,0,0,0.625777006149292,0.008005857467651367,0.00012373924255371094,0.0014185905456542969,0.0004055500030517578,0.6099989414215088
133,,,77,91,4,1,133.0,0,0,0,0,0,0.6260449886322021,0.008127689361572266,0.0001246929168701172,0.0014204978942871094,0.00041747093200683594,0.6100482940673828
134,,,77,91,2,1,120.0,0,0,0,0,0,0.6262168884277344,0.008223772048950195,0.00012540817260742188,0.0014214515686035156,0.00041747093200683594,0.6100971698760986
135,,,78,92,2,1,135.0,0,0,0,1,0,0.6263937950134277,0.008318901062011719,0.00012636184692382812,0.0014226436614990234,0.00041747093200683594,0.6101438999176025
136,,,78,92,7,4,119.66666666666667,0,0,0,0,0,0.6265869140625,0.008419036865234375,0.00012731552124023438,0.0014255046844482422,0.00041747093200683594,0.6101953983306885
137,,,78,92,7,3,112.6,0,0,0,0,0,0.6267850399017334,0.008520841598510742,0.0001285076141357422,0.0014274120330810547,0.00041747093200683594,0.610248327255249
138,,,78,92,5,3,138.0,0,0,0,0,0,0.6270620822906494,0.008624076843261719,0.00012922286987304688,0.0014295578002929688,0.0004343986511230469,0.6102981567382812
139,,,78,92,6,5,139.0,0,0,0,0,0,0.6273679733276367,0.008736371994018555,0.0001304149627685547,0.001432657241821289,0.0004544258117675781,0.6103529930114746
140,,,78,92,6,3,116.4,0,0,0,0,0,0.6275668144226074,0.008839130401611328,0.0001316070556640625,0.001434326171875,0.0004544258117675781,0.6104087829589844
141,,,78,92,4,2,126.0,0,0,0,0,0,0.6277561187744141,0.00894618034362793,0.00013256072998046875,0.001436471939086914,0.0004544258117675781,0.610459566116333
142,,,78,92,7,3,130.4,0,0,0,0,0,0.6279458999633789,0.009044170379638672,0.000133514404296875,0.0014383792877197266,0.0004544258117675781,0.6105117797851562
143,,,79,94,5,3,143.0,0,0,1,0,0,0.6282618045806885,0.009150266647338867,0.00013446807861328125,0.0015034675598144531,0.000469207763671875,0.6105606555938721
144,,,79,94,9,4,133.57142857142858,0,0,0,0,0,0.6284739971160889,0.009256124496459961,0.00013566017150878906,0.0015053749084472656,0.000469207763671875,0.6106188297271729
145,,,79,94,3,1,145.0,0,0,0,0,0,0.6287119388580322,0.009361028671264648,0.00013685226440429688,0.0015065670013427734,0.0004801750183105469,0.6106669902801514
146,,,79,94,5,2,128.0,0,0,0,0,0,0.6289060115814209,0.00946807861328125,0.0001380443572998047,0.001508474349975586,0.0004801750183105469,0.6107196807861328
147,,,79,94,3,2,130.66666666666666,0,0,0,0,0,0.6290829181671143,0.009568929672241211,0.0001380443572998047,0.0015106201171875,0.0004801750183105469,0.6107678413391113
